,location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
1557,Denver - CAMP - 2105,Denver-Aurora,US,2018-10-13T20:00:00Z,2018-10-13T14:00:00-06:00,no2,0.005,ppm,39.751098999999996,-104.98719799999999,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
1561,Welby - 78th Ave. &,Denver-Aurora,US,2018-10-13T20:00:00Z,2018-10-13T14:00:00-06:00,no2,0.003,ppm,39.8392,-104.9489,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
1564,La Casa NCORE - 4545,Denver-Aurora,US,2018-10-13T20:00:00Z,2018-10-13T14:00:00-06:00,no2,0.004,ppm,39.7794,-105.00523000000001,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
1572,Welby - 78th Ave. &,Denver-Aurora,US,2018-10-13T19:00:00Z,2018-10-13T13:00:00-06:00,no2,0.004,ppm,39.8392,-104.9489,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
1577,Denver - CAMP - 2105,Denver-Aurora,US,2018-10-13T19:00:00Z,2018-10-13T13:00:00-06:00,no2,0.008,ppm,39.751098999999996,-104.98719799999999,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
1581,La Casa NCORE - 4545,Denver-Aurora,US,2018-10-13T19:00:00Z,2018-10-13T13:00:00-06:00,no2,0.008,ppm,39.7794,-105.00523000000001,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
1584,Welby - 78th Ave. &,Denver-Aurora,US,2018-10-13T18:00:00Z,2018-10-13T12:00:00-06:00,no2,0.01,ppm,39.8392,-104.9489,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
1588,Denver - CAMP - 2105,Denver-Aurora,US,2018-10-13T18:00:00Z,2018-10-13T12:00:00-06:00,no2,0.012,ppm,39.751098999999996,-104.98719799999999,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
1589,La Casa NCORE - 4545,Denver-Aurora,US,2018-10-13T18:00:00Z,2018-10-13T12:00:00-06:00,no2,0.016,ppm,39.7794,-105.00523000000001,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
1599,Welby - 78th Ave. &,Denver-Aurora,US,2018-10-13T17:00:00Z,2018-10-13T11:00:00-06:00,no2,0.017,ppm,39.8392,-104.9489,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
