,location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
0,Denver - CAMP - 2105,Denver-Aurora,US,2018-10-30T00:00:00Z,2018-10-29T18:00:00-06:00,pm25,2.8,µg/m³,39.751098999999996,-104.98719799999999,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
1,Denver - NJH - 14th,Denver-Aurora,US,2018-10-30T00:00:00Z,2018-10-29T18:00:00-06:00,pm25,6.9,µg/m³,39.7386,-104.9394,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
2,Chatfield Park - 115,Denver-Aurora,US,2018-10-30T00:00:00Z,2018-10-29T18:00:00-06:00,pm25,2.1,µg/m³,39.5339,-105.07,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
3,La Casa NCORE - 4545,Denver-Aurora,US,2018-10-30T00:00:00Z,2018-10-29T18:00:00-06:00,pm25,3.2,µg/m³,39.7794,-105.00523000000001,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
4,La Casa NCORE - 4545,Denver-Aurora,US,2018-10-29T23:00:00Z,2018-10-29T17:00:00-06:00,pm25,2.5,µg/m³,39.7794,-105.00523000000001,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
5,Denver - NJH - 14th,Denver-Aurora,US,2018-10-29T23:00:00Z,2018-10-29T17:00:00-06:00,pm25,4.0,µg/m³,39.7386,-104.9394,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
6,Denver - CAMP - 2105,Denver-Aurora,US,2018-10-29T23:00:00Z,2018-10-29T17:00:00-06:00,pm25,3.8,µg/m³,39.751098999999996,-104.98719799999999,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
7,Chatfield Park - 115,Denver-Aurora,US,2018-10-29T23:00:00Z,2018-10-29T17:00:00-06:00,pm25,1.7,µg/m³,39.5339,-105.07,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
8,Denver - NJH - 14th,Denver-Aurora,US,2018-10-29T22:00:00Z,2018-10-29T16:00:00-06:00,pm25,3.8,µg/m³,39.7386,-104.9394,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
9,Chatfield Park - 115,Denver-Aurora,US,2018-10-29T22:00:00Z,2018-10-29T16:00:00-06:00,pm25,1.3,µg/m³,39.5339,-105.07,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
10,Denver - CAMP - 2105,Denver-Aurora,US,2018-10-29T22:00:00Z,2018-10-29T16:00:00-06:00,pm25,4.3,µg/m³,39.751098999999996,-104.98719799999999,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
11,La Casa NCORE - 4545,Denver-Aurora,US,2018-10-29T22:00:00Z,2018-10-29T16:00:00-06:00,pm25,3.9,µg/m³,39.7794,-105.00523000000001,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
12,Denver - NJH - 14th,Denver-Aurora,US,2018-10-29T21:00:00Z,2018-10-29T15:00:00-06:00,pm25,3.5,µg/m³,39.7386,-104.9394,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
13,La Casa NCORE - 4545,Denver-Aurora,US,2018-10-29T21:00:00Z,2018-10-29T15:00:00-06:00,pm25,3.3,µg/m³,39.7794,-105.00523000000001,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
14,Chatfield Park - 115,Denver-Aurora,US,2018-10-29T21:00:00Z,2018-10-29T15:00:00-06:00,pm25,1.4,µg/m³,39.5339,-105.07,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
15,Denver - CAMP - 2105,Denver-Aurora,US,2018-10-29T21:00:00Z,2018-10-29T15:00:00-06:00,pm25,3.4,µg/m³,39.751098999999996,-104.98719799999999,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
16,Denver - CAMP - 2105,Denver-Aurora,US,2018-10-29T20:00:00Z,2018-10-29T14:00:00-06:00,pm25,2.0,µg/m³,39.751098999999996,-104.98719799999999,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
17,Denver - NJH - 14th,Denver-Aurora,US,2018-10-29T20:00:00Z,2018-10-29T14:00:00-06:00,pm25,2.9,µg/m³,39.7386,-104.9394,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
18,La Casa NCORE - 4545,Denver-Aurora,US,2018-10-29T20:00:00Z,2018-10-29T14:00:00-06:00,pm25,1.8,µg/m³,39.7794,-105.00523000000001,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
19,Chatfield Park - 115,Denver-Aurora,US,2018-10-29T20:00:00Z,2018-10-29T14:00:00-06:00,pm25,4.4,µg/m³,39.5339,-105.07,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
20,Chatfield Park - 115,Denver-Aurora,US,2018-10-29T19:00:00Z,2018-10-29T13:00:00-06:00,pm25,3.5,µg/m³,39.5339,-105.07,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
21,La Casa NCORE - 4545,Denver-Aurora,US,2018-10-29T19:00:00Z,2018-10-29T13:00:00-06:00,pm25,2.2,µg/m³,39.7794,-105.00523000000001,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
